drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
0.500,0.0,0.0,6.0,linear,NAN,TARE
0.500,0.25,0.0,6.0,linear,NAN,TARE
0.500,0.5,0.0,6.0,linear,NAN,TARE
0.500,0.75,0.0,6.0,linear,NAN,TARE
0.500,1.0,0.0,6.0,linear,NAN,TARE
0.500,1.25,0.0,6.0,linear,NAN,TARE
0.500,1.5,0.0,6.0,linear,NAN,TARE
0.500,1.75,0.0,6.0,linear,NAN,TARE
0.500,2.0,0.0,6.0,linear,NAN,TARE
0.500,2.25,0.0,6.0,linear,NAN,TARE
0.500,2.5,0.0,6.0,linear,NAN,TARE
0.500,2.75,0.0,6.0,linear,NAN,TARE
0.500,3.0,0.0,6.0,linear,NAN,TARE
0.500,3.25,0.0,6.0,linear,258.421,TARE
0.500,3.5,0.0,6.0,linear,122.500,TARE
0.500,3.75,0.0,6.0,linear,95.100,TARE
0.500,4.0,0.0,6.0,linear,81.400,TARE
0.500,4.25,0.0,6.0,linear,73.000,TARE
0.500,4.5,0.0,6.0,linear,67.550,TARE
0.500,4.75,0.0,6.0,linear,62.750,TARE
0.500,5.0,0.0,6.0,linear,58.400,TARE
0.525,0.0,0.0,6.0,linear,NAN,TARE
0.525,0.25,0.0,6.0,linear,NAN,TARE
0.525,0.5,0.0,6.0,linear,NAN,TARE
0.525,0.75,0.0,6.0,linear,NAN,TARE
0.525,1.0,0.0,6.0,linear,NAN,TARE
0.525,1.25,0.0,6.0,linear,NAN,TARE
0.525,1.5,0.0,6.0,linear,NAN,TARE
0.525,1.75,0.0,6.0,linear,NAN,TARE
0.525,2.0,0.0,6.0,linear,NAN,TARE
0.525,2.25,0.0,6.0,linear,NAN,TARE
0.525,2.5,0.0,6.0,linear,NAN,TARE
0.525,2.75,0.0,6.0,linear,NAN,TARE
0.525,3.0,0.0,6.0,linear,NAN,TARE
0.525,3.25,0.0,6.0,linear,145.100,TARE
0.525,3.5,0.0,6.0,linear,103.050,TARE
0.525,3.75,0.0,6.0,linear,84.550,TARE
0.525,4.0,0.0,6.0,linear,74.900,TARE
0.525,4.25,0.0,6.0,linear,68.050,TARE
0.525,4.5,0.0,6.0,linear,62.850,TARE
0.525,4.75,0.0,6.0,linear,58.700,TARE
0.525,5.0,0.0,6.0,linear,56.650,TARE
0.550,0.0,0.0,6.0,linear,NAN,TARE
0.550,0.25,0.0,6.0,linear,NAN,TARE
0.550,0.5,0.0,6.0,linear,NAN,TARE
0.550,0.75,0.0,6.0,linear,NAN,TARE
0.550,1.0,0.0,6.0,linear,NAN,TARE
0.550,1.25,0.0,6.0,linear,NAN,TARE
0.550,1.5,0.0,6.0,linear,NAN,TARE
0.550,1.75,0.0,6.0,linear,NAN,TARE
0.550,2.0,0.0,6.0,linear,NAN,TARE
0.550,2.25,0.0,6.0,linear,NAN,TARE
0.550,2.5,0.0,6.0,linear,NAN,TARE
0.550,2.75,0.0,6.0,linear,NAN,TARE
0.550,3.0,0.0,6.0,linear,200.250,TARE
0.550,3.25,0.0,6.0,linear,112.400,TARE
0.550,3.5,0.0,6.0,linear,90.550,TARE
0.550,3.75,0.0,6.0,linear,78.450,TARE
0.550,4.0,0.0,6.0,linear,69.700,TARE
0.550,4.25,0.0,6.0,linear,64.050,TARE
0.550,4.5,0.0,6.0,linear,60.250,TARE
0.550,4.75,0.0,6.0,linear,57.600,TARE
0.550,5.0,0.0,6.0,linear,54.000,TARE
0.575,0.0,0.0,6.0,linear,NAN,TARE
0.575,0.25,0.0,6.0,linear,NAN,TARE
0.575,0.5,0.0,6.0,linear,NAN,TARE
0.575,0.75,0.0,6.0,linear,NAN,TARE
0.575,1.0,0.0,6.0,linear,NAN,TARE
0.575,1.25,0.0,6.0,linear,NAN,TARE
0.575,1.5,0.0,6.0,linear,NAN,TARE
0.575,1.75,0.0,6.0,linear,NAN,TARE
0.575,2.0,0.0,6.0,linear,NAN,TARE
0.575,2.25,0.0,6.0,linear,NAN,TARE
0.575,2.5,0.0,6.0,linear,NAN,TARE
0.575,2.75,0.0,6.0,linear,NAN,TARE
0.575,3.0,0.0,6.0,linear,137.000,TARE
0.575,3.25,0.0,6.0,linear,97.500,TARE
0.575,3.5,0.0,6.0,linear,82.350,TARE
0.575,3.75,0.0,6.0,linear,72.600,TARE
0.575,4.0,0.0,6.0,linear,66.000,TARE
0.575,4.25,0.0,6.0,linear,61.600,TARE
0.575,4.5,0.0,6.0,linear,58.000,TARE
0.575,4.75,0.0,6.0,linear,54.550,TARE
0.575,5.0,0.0,6.0,linear,52.800,TARE
0.600,0.0,0.0,6.0,linear,NAN,TARE
0.600,0.25,0.0,6.0,linear,NAN,TARE
0.600,0.5,0.0,6.0,linear,NAN,TARE
0.600,0.75,0.0,6.0,linear,NAN,TARE
0.600,1.0,0.0,6.0,linear,NAN,TARE
0.600,1.25,0.0,6.0,linear,NAN,TARE
0.600,1.5,0.0,6.0,linear,NAN,TARE
0.600,1.75,0.0,6.0,linear,NAN,TARE
0.600,2.0,0.0,6.0,linear,NAN,TARE
0.600,2.25,0.0,6.0,linear,NAN,TARE
0.600,2.5,0.0,6.0,linear,NAN,TARE
0.600,2.75,0.0,6.0,linear,206.600,TARE
0.600,3.0,0.0,6.0,linear,111.200,TARE
0.600,3.25,0.0,6.0,linear,88.050,TARE
0.600,3.5,0.0,6.0,linear,75.500,TARE
0.600,3.75,0.0,6.0,linear,67.950,TARE
0.600,4.0,0.0,6.0,linear,62.550,TARE
0.600,4.25,0.0,6.0,linear,58.650,TARE
0.600,4.5,0.0,6.0,linear,55.000,TARE
0.600,4.75,0.0,6.0,linear,53.100,TARE
0.600,5.0,0.0,6.0,linear,50.650,TARE
0.625,0.0,0.0,6.0,linear,NAN,TARE
0.625,0.25,0.0,6.0,linear,NAN,TARE
0.625,0.5,0.0,6.0,linear,NAN,TARE
0.625,0.75,0.0,6.0,linear,NAN,TARE
0.625,1.0,0.0,6.0,linear,NAN,TARE
0.625,1.25,0.0,6.0,linear,NAN,TARE
0.625,1.5,0.0,6.0,linear,NAN,TARE
0.625,1.75,0.0,6.0,linear,NAN,TARE
0.625,2.0,0.0,6.0,linear,NAN,TARE
0.625,2.25,0.0,6.0,linear,NAN,TARE
0.625,2.5,0.0,6.0,linear,NAN,TARE
0.625,2.75,0.0,6.0,linear,139.350,TARE
0.625,3.0,0.0,6.0,linear,97.900,TARE
0.625,3.25,0.0,6.0,linear,81.200,TARE
0.625,3.5,0.0,6.0,linear,71.300,TARE
0.625,3.75,0.0,6.0,linear,65.000,TARE
0.625,4.0,0.0,6.0,linear,60.350,TARE
0.625,4.25,0.0,6.0,linear,56.500,TARE
0.625,4.5,0.0,6.0,linear,53.150,TARE
0.625,4.75,0.0,6.0,linear,51.200,TARE
0.625,5.0,0.0,6.0,linear,49.500,TARE
0.650,0.0,0.0,6.0,linear,NAN,TARE
0.650,0.25,0.0,6.0,linear,NAN,TARE
0.650,0.5,0.0,6.0,linear,NAN,TARE
0.650,0.75,0.0,6.0,linear,NAN,TARE
0.650,1.0,0.0,6.0,linear,NAN,TARE
0.650,1.25,0.0,6.0,linear,NAN,TARE
0.650,1.5,0.0,6.0,linear,NAN,TARE
0.650,1.75,0.0,6.0,linear,NAN,TARE
0.650,2.0,0.0,6.0,linear,NAN,TARE
0.650,2.25,0.0,6.0,linear,NAN,TARE
0.650,2.5,0.0,6.0,linear,272.400,TARE
0.650,2.75,0.0,6.0,linear,115.550,TARE
0.650,3.0,0.0,6.0,linear,89.600,TARE
0.650,3.25,0.0,6.0,linear,75.800,TARE
0.650,3.5,0.0,6.0,linear,67.800,TARE
0.650,3.75,0.0,6.0,linear,62.350,TARE
0.650,4.0,0.0,6.0,linear,57.650,TARE
0.650,4.25,0.0,6.0,linear,54.400,TARE
0.650,4.5,0.0,6.0,linear,51.700,TARE
0.650,4.75,0.0,6.0,linear,49.850,TARE
0.650,5.0,0.0,6.0,linear,48.250,TARE
0.675,0.0,0.0,6.0,linear,NAN,TARE
0.675,0.25,0.0,6.0,linear,NAN,TARE
0.675,0.5,0.0,6.0,linear,NAN,TARE
0.675,0.75,0.0,6.0,linear,NAN,TARE
0.675,1.0,0.0,6.0,linear,NAN,TARE
0.675,1.25,0.0,6.0,linear,NAN,TARE
0.675,1.5,0.0,6.0,linear,NAN,TARE
0.675,1.75,0.0,6.0,linear,NAN,TARE
0.675,2.0,0.0,6.0,linear,NAN,TARE
0.675,2.25,0.0,6.0,linear,NAN,TARE
0.675,2.5,0.0,6.0,linear,162.600,TARE
0.675,2.75,0.0,6.0,linear,102.650,TARE
0.675,3.0,0.0,6.0,linear,81.450,TARE
0.675,3.25,0.0,6.0,linear,71.750,TARE
0.675,3.5,0.0,6.0,linear,65.000,TARE
0.675,3.75,0.0,6.0,linear,59.650,TARE
0.675,4.0,0.0,6.0,linear,55.650,TARE
0.675,4.25,0.0,6.0,linear,53.450,TARE
0.675,4.5,0.0,6.0,linear,51.650,TARE
0.675,4.75,0.0,6.0,linear,49.600,TARE
0.675,5.0,0.0,6.0,linear,47.200,TARE
0.700,0.0,0.0,6.0,linear,NAN,TARE
0.700,0.25,0.0,6.0,linear,NAN,TARE
0.700,0.5,0.0,6.0,linear,NAN,TARE
0.700,0.75,0.0,6.0,linear,NAN,TARE
0.700,1.0,0.0,6.0,linear,NAN,TARE
0.700,1.25,0.0,6.0,linear,NAN,TARE
0.700,1.5,0.0,6.0,linear,NAN,TARE
0.700,1.75,0.0,6.0,linear,NAN,TARE
0.700,2.0,0.0,6.0,linear,NAN,TARE
0.700,2.25,0.0,6.0,linear,NAN,TARE
0.700,2.5,0.0,6.0,linear,129.000,TARE
0.700,2.75,0.0,6.0,linear,92.900,TARE
0.700,3.0,0.0,6.0,linear,77.400,TARE
0.700,3.25,0.0,6.0,linear,68.100,TARE
0.700,3.5,0.0,6.0,linear,62.900,TARE
0.700,3.75,0.0,6.0,linear,57.650,TARE
0.700,4.0,0.0,6.0,linear,54.400,TARE
0.700,4.25,0.0,6.0,linear,52.400,TARE
0.700,4.5,0.0,6.0,linear,49.550,TARE
0.700,4.75,0.0,6.0,linear,47.600,TARE
0.700,5.0,0.0,6.0,linear,46.550,TARE
0.725,0.0,0.0,6.0,linear,NAN,TARE
0.725,0.25,0.0,6.0,linear,NAN,TARE
0.725,0.5,0.0,6.0,linear,NAN,TARE
0.725,0.75,0.0,6.0,linear,NAN,TARE
0.725,1.0,0.0,6.0,linear,NAN,TARE
0.725,1.25,0.0,6.0,linear,NAN,TARE
0.725,1.5,0.0,6.0,linear,NAN,TARE
0.725,1.75,0.0,6.0,linear,NAN,TARE
0.725,2.0,0.0,6.0,linear,NAN,TARE
0.725,2.25,0.0,6.0,linear,270.941,TARE
0.725,2.5,0.0,6.0,linear,111.350,TARE
0.725,2.75,0.0,6.0,linear,86.800,TARE
0.725,3.0,0.0,6.0,linear,72.950,TARE
0.725,3.25,0.0,6.0,linear,65.800,TARE
0.725,3.5,0.0,6.0,linear,59.800,TARE
0.725,3.75,0.0,6.0,linear,56.700,TARE
0.725,4.0,0.0,6.0,linear,53.250,TARE
0.725,4.25,0.0,6.0,linear,50.450,TARE
0.725,4.5,0.0,6.0,linear,48.850,TARE
0.725,4.75,0.0,6.0,linear,47.100,TARE
0.725,5.0,0.0,6.0,linear,45.700,TARE
0.750,0.0,0.0,6.0,linear,NAN,TARE
0.750,0.25,0.0,6.0,linear,NAN,TARE
0.750,0.5,0.0,6.0,linear,NAN,TARE
0.750,0.75,0.0,6.0,linear,NAN,TARE
0.750,1.0,0.0,6.0,linear,NAN,TARE
0.750,1.25,0.0,6.0,linear,NAN,TARE
0.750,1.5,0.0,6.0,linear,NAN,TARE
0.750,1.75,0.0,6.0,linear,NAN,TARE
0.750,2.0,0.0,6.0,linear,NAN,TARE
0.750,2.25,0.0,6.0,linear,168.200,TARE
0.750,2.5,0.0,6.0,linear,100.250,TARE
0.750,2.75,0.0,6.0,linear,80.800,TARE
0.750,3.0,0.0,6.0,linear,70.050,TARE
0.750,3.25,0.0,6.0,linear,62.800,TARE
0.750,3.5,0.0,6.0,linear,57.900,TARE
0.750,3.75,0.0,6.0,linear,54.850,TARE
0.750,4.0,0.0,6.0,linear,51.950,TARE
0.750,4.25,0.0,6.0,linear,49.750,TARE
0.750,4.5,0.0,6.0,linear,47.450,TARE
0.750,4.75,0.0,6.0,linear,45.300,TARE
0.750,5.0,0.0,6.0,linear,44.750,TARE
0.775,0.0,0.0,6.0,linear,NAN,TARE
0.775,0.25,0.0,6.0,linear,NAN,TARE
0.775,0.5,0.0,6.0,linear,NAN,TARE
0.775,0.75,0.0,6.0,linear,NAN,TARE
0.775,1.0,0.0,6.0,linear,NAN,TARE
0.775,1.25,0.0,6.0,linear,NAN,TARE
0.775,1.5,0.0,6.0,linear,NAN,TARE
0.775,1.75,0.0,6.0,linear,NAN,TARE
0.775,2.0,0.0,6.0,linear,NAN,TARE
0.775,2.25,0.0,6.0,linear,136.050,TARE
0.775,2.5,0.0,6.0,linear,92.000,TARE
0.775,2.75,0.0,6.0,linear,76.300,TARE
0.775,3.0,0.0,6.0,linear,67.600,TARE
0.775,3.25,0.0,6.0,linear,61.450,TARE
0.775,3.5,0.0,6.0,linear,56.450,TARE
0.775,3.75,0.0,6.0,linear,53.800,TARE
0.775,4.0,0.0,6.0,linear,50.450,TARE
0.775,4.25,0.0,6.0,linear,48.650,TARE
0.775,4.5,0.0,6.0,linear,46.550,TARE
0.775,4.75,0.0,6.0,linear,45.700,TARE
0.775,5.0,0.0,6.0,linear,44.000,TARE
0.800,0.0,0.0,6.0,linear,NAN,TARE
0.800,0.25,0.0,6.0,linear,NAN,TARE
0.800,0.5,0.0,6.0,linear,NAN,TARE
0.800,0.75,0.0,6.0,linear,NAN,TARE
0.800,1.0,0.0,6.0,linear,NAN,TARE
0.800,1.25,0.0,6.0,linear,NAN,TARE
0.800,1.5,0.0,6.0,linear,NAN,TARE
0.800,1.75,0.0,6.0,linear,NAN,TARE
0.800,2.0,0.0,6.0,linear,NAN,TARE
0.800,2.25,0.0,6.0,linear,116.400,TARE
0.800,2.5,0.0,6.0,linear,86.350,TARE
0.800,2.75,0.0,6.0,linear,72.950,TARE
0.800,3.0,0.0,6.0,linear,64.550,TARE
0.800,3.25,0.0,6.0,linear,59.000,TARE
0.800,3.5,0.0,6.0,linear,55.100,TARE
0.800,3.75,0.0,6.0,linear,52.050,TARE
0.800,4.0,0.0,6.0,linear,50.050,TARE
0.800,4.25,0.0,6.0,linear,47.300,TARE
0.800,4.5,0.0,6.0,linear,45.950,TARE
0.800,4.75,0.0,6.0,linear,44.700,TARE
0.800,5.0,0.0,6.0,linear,42.900,TARE
0.825,0.0,0.0,6.0,linear,NAN,TARE
0.825,0.25,0.0,6.0,linear,NAN,TARE
0.825,0.5,0.0,6.0,linear,NAN,TARE
0.825,0.75,0.0,6.0,linear,NAN,TARE
0.825,1.0,0.0,6.0,linear,NAN,TARE
0.825,1.25,0.0,6.0,linear,NAN,TARE
0.825,1.5,0.0,6.0,linear,NAN,TARE
0.825,1.75,0.0,6.0,linear,NAN,TARE
0.825,2.0,0.0,6.0,linear,232.650,TARE
0.825,2.25,0.0,6.0,linear,105.200,TARE
0.825,2.5,0.0,6.0,linear,81.900,TARE
0.825,2.75,0.0,6.0,linear,70.350,TARE
0.825,3.0,0.0,6.0,linear,62.900,TARE
0.825,3.25,0.0,6.0,linear,57.600,TARE
0.825,3.5,0.0,6.0,linear,54.700,TARE
0.825,3.75,0.0,6.0,linear,51.350,TARE
0.825,4.0,0.0,6.0,linear,49.150,TARE
0.825,4.25,0.0,6.0,linear,46.650,TARE
0.825,4.5,0.0,6.0,linear,44.950,TARE
0.825,4.75,0.0,6.0,linear,43.800,TARE
0.825,5.0,0.0,6.0,linear,42.050,TARE
0.850,0.0,0.0,6.0,linear,NAN,TARE
0.850,0.25,0.0,6.0,linear,NAN,TARE
0.850,0.5,0.0,6.0,linear,NAN,TARE
0.850,0.75,0.0,6.0,linear,NAN,TARE
0.850,1.0,0.0,6.0,linear,NAN,TARE
0.850,1.25,0.0,6.0,linear,NAN,TARE
0.850,1.5,0.0,6.0,linear,NAN,TARE
0.850,1.75,0.0,6.0,linear,NAN,TARE
0.850,2.0,0.0,6.0,linear,164.150,TARE
0.850,2.25,0.0,6.0,linear,97.500,TARE
0.850,2.5,0.0,6.0,linear,76.950,TARE
0.850,2.75,0.0,6.0,linear,67.500,TARE
0.850,3.0,0.0,6.0,linear,61.000,TARE
0.850,3.25,0.0,6.0,linear,55.850,TARE
0.850,3.5,0.0,6.0,linear,53.050,TARE
0.850,3.75,0.0,6.0,linear,50.100,TARE
0.850,4.0,0.0,6.0,linear,48.100,TARE
0.850,4.25,0.0,6.0,linear,45.800,TARE
0.850,4.5,0.0,6.0,linear,44.800,TARE
0.850,4.75,0.0,6.0,linear,42.950,TARE
0.850,5.0,0.0,6.0,linear,42.400,TARE
0.875,0.0,0.0,6.0,linear,NAN,TARE
0.875,0.25,0.0,6.0,linear,NAN,TARE
0.875,0.5,0.0,6.0,linear,NAN,TARE
0.875,0.75,0.0,6.0,linear,NAN,TARE
0.875,1.0,0.0,6.0,linear,NAN,TARE
0.875,1.25,0.0,6.0,linear,NAN,TARE
0.875,1.5,0.0,6.0,linear,NAN,TARE
0.875,1.75,0.0,6.0,linear,NAN,TARE
0.875,2.0,0.0,6.0,linear,136.550,TARE
0.875,2.25,0.0,6.0,linear,90.900,TARE
0.875,2.5,0.0,6.0,linear,74.100,TARE
0.875,2.75,0.0,6.0,linear,65.450,TARE
0.875,3.0,0.0,6.0,linear,59.750,TARE
0.875,3.25,0.0,6.0,linear,55.850,TARE
0.875,3.5,0.0,6.0,linear,51.750,TARE
0.875,3.75,0.0,6.0,linear,49.750,TARE
0.875,4.0,0.0,6.0,linear,47.450,TARE
0.875,4.25,0.0,6.0,linear,45.250,TARE
0.875,4.5,0.0,6.0,linear,43.700,TARE
0.875,4.75,0.0,6.0,linear,42.850,TARE
0.875,5.0,0.0,6.0,linear,41.400,TARE
0.900,0.0,0.0,6.0,linear,NAN,TARE
0.900,0.25,0.0,6.0,linear,NAN,TARE
0.900,0.5,0.0,6.0,linear,NAN,TARE
0.900,0.75,0.0,6.0,linear,NAN,TARE
0.900,1.0,0.0,6.0,linear,NAN,TARE
0.900,1.25,0.0,6.0,linear,NAN,TARE
0.900,1.5,0.0,6.0,linear,NAN,TARE
0.900,1.75,0.0,6.0,linear,NAN,TARE
0.900,2.0,0.0,6.0,linear,120.050,TARE
0.900,2.25,0.0,6.0,linear,87.000,TARE
0.900,2.5,0.0,6.0,linear,71.150,TARE
0.900,2.75,0.0,6.0,linear,63.000,TARE
0.900,3.0,0.0,6.0,linear,58.300,TARE
0.900,3.25,0.0,6.0,linear,53.800,TARE
0.900,3.5,0.0,6.0,linear,50.900,TARE
0.900,3.75,0.0,6.0,linear,48.000,TARE
0.900,4.0,0.0,6.0,linear,46.000,TARE
0.900,4.25,0.0,6.0,linear,44.750,TARE
0.900,4.5,0.0,6.0,linear,43.550,TARE
0.900,4.75,0.0,6.0,linear,42.150,TARE
0.900,5.0,0.0,6.0,linear,40.450,TARE
0.925,0.0,0.0,6.0,linear,NAN,TARE
0.925,0.25,0.0,6.0,linear,NAN,TARE
0.925,0.5,0.0,6.0,linear,NAN,TARE
0.925,0.75,0.0,6.0,linear,NAN,TARE
0.925,1.0,0.0,6.0,linear,NAN,TARE
0.925,1.25,0.0,6.0,linear,NAN,TARE
0.925,1.5,0.0,6.0,linear,NAN,TARE
0.925,1.75,0.0,6.0,linear,291.000,TARE
0.925,2.0,0.0,6.0,linear,109.100,TARE
0.925,2.25,0.0,6.0,linear,82.400,TARE
0.925,2.5,0.0,6.0,linear,69.650,TARE
0.925,2.75,0.0,6.0,linear,61.850,TARE
0.925,3.0,0.0,6.0,linear,56.600,TARE
0.925,3.25,0.0,6.0,linear,53.000,TARE
0.925,3.5,0.0,6.0,linear,49.800,TARE
0.925,3.75,0.0,6.0,linear,48.100,TARE
0.925,4.0,0.0,6.0,linear,45.900,TARE
0.925,4.25,0.0,6.0,linear,44.100,TARE
0.925,4.5,0.0,6.0,linear,42.700,TARE
0.925,4.75,0.0,6.0,linear,41.400,TARE
0.925,5.0,0.0,6.0,linear,40.450,TARE
0.950,0.0,0.0,6.0,linear,NAN,TARE
0.950,0.25,0.0,6.0,linear,NAN,TARE
0.950,0.5,0.0,6.0,linear,NAN,TARE
0.950,0.75,0.0,6.0,linear,NAN,TARE
0.950,1.0,0.0,6.0,linear,NAN,TARE
0.950,1.25,0.0,6.0,linear,NAN,TARE
0.950,1.5,0.0,6.0,linear,NAN,TARE
0.950,1.75,0.0,6.0,linear,223.500,TARE
0.950,2.0,0.0,6.0,linear,100.650,TARE
0.950,2.25,0.0,6.0,linear,78.700,TARE
0.950,2.5,0.0,6.0,linear,67.000,TARE
0.950,2.75,0.0,6.0,linear,61.000,TARE
0.950,3.0,0.0,6.0,linear,56.050,TARE
0.950,3.25,0.0,6.0,linear,51.200,TARE
0.950,3.5,0.0,6.0,linear,48.850,TARE
0.950,3.75,0.0,6.0,linear,47.250,TARE
0.950,4.0,0.0,6.0,linear,45.400,TARE
0.950,4.25,0.0,6.0,linear,43.500,TARE
0.950,4.5,0.0,6.0,linear,42.100,TARE
0.950,4.75,0.0,6.0,linear,41.200,TARE
0.950,5.0,0.0,6.0,linear,40.250,TARE
0.975,0.0,0.0,6.0,linear,NAN,TARE
0.975,0.25,0.0,6.0,linear,NAN,TARE
0.975,0.5,0.0,6.0,linear,NAN,TARE
0.975,0.75,0.0,6.0,linear,NAN,TARE
0.975,1.0,0.0,6.0,linear,NAN,TARE
0.975,1.25,0.0,6.0,linear,NAN,TARE
0.975,1.5,0.0,6.0,linear,NAN,TARE
0.975,1.75,0.0,6.0,linear,163.600,TARE
0.975,2.0,0.0,6.0,linear,94.800,TARE
0.975,2.25,0.0,6.0,linear,75.300,TARE
0.975,2.5,0.0,6.0,linear,65.500,TARE
0.975,2.75,0.0,6.0,linear,59.000,TARE
0.975,3.0,0.0,6.0,linear,54.050,TARE
0.975,3.25,0.0,6.0,linear,51.450,TARE
0.975,3.5,0.0,6.0,linear,48.700,TARE
0.975,3.75,0.0,6.0,linear,46.750,TARE
0.975,4.0,0.0,6.0,linear,45.050,TARE
0.975,4.25,0.0,6.0,linear,43.600,TARE
0.975,4.5,0.0,6.0,linear,42.000,TARE
0.975,4.75,0.0,6.0,linear,40.250,TARE
0.975,5.0,0.0,6.0,linear,40.150,TARE
1.000,0.0,0.0,6.0,linear,NAN,TARE
1.000,0.25,0.0,6.0,linear,NAN,TARE
1.000,0.5,0.0,6.0,linear,NAN,TARE
1.000,0.75,0.0,6.0,linear,NAN,TARE
1.000,1.0,0.0,6.0,linear,NAN,TARE
1.000,1.25,0.0,6.0,linear,NAN,TARE
1.000,1.5,0.0,6.0,linear,NAN,TARE
1.000,1.75,0.0,6.0,linear,138.750,TARE
1.000,2.0,0.0,6.0,linear,89.350,TARE
1.000,2.25,0.0,6.0,linear,72.800,TARE
1.000,2.5,0.0,6.0,linear,64.150,TARE
1.000,2.75,0.0,6.0,linear,57.800,TARE
1.000,3.0,0.0,6.0,linear,53.700,TARE
1.000,3.25,0.0,6.0,linear,50.700,TARE
1.000,3.5,0.0,6.0,linear,47.700,TARE
1.000,3.75,0.0,6.0,linear,45.950,TARE
1.000,4.0,0.0,6.0,linear,43.900,TARE
1.000,4.25,0.0,6.0,linear,42.650,TARE
1.000,4.5,0.0,6.0,linear,41.450,TARE
1.000,4.75,0.0,6.0,linear,40.150,TARE
1.000,5.0,0.0,6.0,linear,39.700,TARE
